
==== DEVELOPMENT  Scenario A ====
-- marl_static
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   98     49.7  0.2103   1.00   3.00    224.4   5.43        8
   99     45.1  0.2417   2.00   1.00    237.8   6.42      116
-- marl_freeze
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   80     44.0  0.2401   1.00   3.00    231.0   5.61      768
   81     44.3  0.2155   4.00   0.00    202.4   3.68       20
   82     50.7  0.2043   2.00   2.00    224.7   5.26       52
   83     26.2  0.3897   2.00   2.00    220.7   4.77       67
   84     53.0  0.1911   1.00   1.00    215.5   5.05       54
   85     44.1  0.2135   3.00   1.00    201.7   5.12     1680
   86     40.3  0.2386   1.00   1.00    204.5   5.60      112
   87     46.7  0.2384   1.00   2.00    237.0   6.13       43
   88     56.5  0.2050   2.00   2.00    248.8   5.86       27
   89     30.2  0.3080   2.00   1.00    198.9   5.16      151
   90     39.6  0.2983   1.00   1.00    261.4   6.25     1657
   91     44.7  0.2162   1.57   2.43    206.8   5.09      267
   92     48.3  0.2296   3.00   1.00    244.0   5.07      656
   93     39.0  0.3024   2.00   2.00    252.3   5.35        0
   94     29.0  0.4315   1.00   1.00    277.3   5.77       40
   95     47.7  0.2196   2.00   2.00    225.5   5.22       14
   96     35.1  0.2751   2.00   1.00    203.6   5.30       27
   97     40.0  0.2894   3.00   1.00    251.5   4.58    10604
   98     52.8  0.2109   1.00   3.00    234.0   5.50       30
   99     42.3  0.2431   2.00   1.00    222.7   6.33      885
-- xldet
   seed   ach    J/unit  comps  bridges  E/tick  lat_ms   SLI
   80     39.5  0.2397   1.00   3.00    207.5   5.93    11610
   81     32.7  0.3157   3.00   1.00    225.4   5.35     4539
   82     53.3  0.1913   1.00   3.00    220.5   5.65       39
   83     28.7  0.3394   2.00   2.00    210.0   5.76       61
   84     51.0  0.1935   1.00   1.00    213.3   5.32       12
   85     39.5  0.2398   3.00   1.00    207.9   5.26     9208
   86     45.6  0.2181   1.00   1.00    214.0   5.94        3
   87     40.7  0.2704   1.00   2.00    239.2   6.15        2
   88     54.0  0.1865   2.00   2.00    216.6   6.46       28
   89     30.4  0.3083   2.00   1.00    202.9   5.21       66
   90     36.9  0.2985   1.00   1.00    243.6   6.33     9323
